method,group_id,leader,member,delta_error,leader_error,optimal_error
groupsm,3,16,44,0.009104289813503641,18.816482942403255,18.80737865258975
groupsm,3,16,69,0.002473985391077349,19.341308305744953,19.338834320353875
groupsm,3,16,91,0.004753013256028282,19.26874111060389,19.263988097347863
groupsm,3,16,61,0.0015316110882324097,19.26770774648747,19.26617613539924
groupsm,3,16,40,0.00020481018541218532,19.162362574060978,19.162157763875566
groupsm,3,16,48,0.0007201798550653393,19.091049333250158,19.090329153395093
groupsm,3,16,98,0.00015796637201859198,19.130519940477864,19.130361974105845
groupsm,3,16,1,0.0026077491645111195,19.032016700993317,19.029408951828806
groupsm,3,16,86,0.0002703270664738966,19.02927480513566,19.029004478069186
groupsm,3,16,96,0.0017834573234800644,19.00651888593694,19.00473542861346
groupsm,3,16,26,0.003519962714207736,19.272146538838637,19.26862657612443
groupsm,3,16,16,0.0,19.08458491539897,19.08458491539897
groupsm,3,16,13,0.0008055043743198098,18.943319225001876,18.942513720627556
groupsm,3,16,71,9.527616733961963e-05,19.05130347704184,19.051208200874502
groupsm,3,16,43,0.0010969835553957807,18.94295331486079,18.941856331305395
groupsm,3,16,4,0.005251736446222566,19.028599343014502,19.02334760656828
groupsm,3,16,30,0.004113133600778696,18.872426287563854,18.868313153963076
groupsm,3,16,9,0.010251453253218301,18.755341502942144,18.745090049688926
groupsm,4,75,22,0.0028169001005231564,19.431405031778777,19.428588131678254
groupsm,4,75,36,0.005107267734850041,19.289502863705934,19.284395595971084
groupsm,4,75,41,0.0045497489553874,19.540550256992013,19.536000508036626
groupsm,4,75,79,0.0029764253217656744,19.565391371319688,19.562414945997922
groupsm,4,75,68,0.0008703547090860297,19.429863810569298,19.428993455860212
groupsm,4,75,84,0.0028955708076559006,19.601951338256903,19.599055767449247
groupsm,4,75,97,0.0004630613162284192,19.300763630866932,19.300300569550703
groupsm,4,75,53,0.0017480612494011893,19.169179003463075,19.167430942213674
groupsm,4,75,0,0.00018088992684894833,19.288497018564158,19.28831612863731
groupsm,4,75,28,0.0019448446053544899,19.197948180269716,19.19600333566436
groupsm,4,75,58,0.0015245460016188872,19.51062095200251,19.50909640600089
groupsm,4,75,75,0.0,19.31462724947026,19.31462724947026
groupsm,4,75,21,0.0008579316221357658,19.402647828985515,19.40178989736338
groupsm,4,75,65,0.0019776610513204673,19.426448013574884,19.424470352523564
