index,leader,error,error_optimal,delta_error
0,87,199.57242229841074,199.53322531380155,0.03919698460919108
1,87,203.99464757688884,203.83395926627998,0.16068831060886168
2,87,201.58565099633387,201.536946729232,0.04870426710186848
3,16,192.96801413245475,192.9219700544111,0.04604407804364996
4,87,193.16060831629932,193.05036545586626,0.1102428604330612
5,87,204.26175993925852,204.1133494875214,0.14841045173713496
6,87,200.75148364044455,200.71956906946116,0.03191457098338901
7,87,194.7715795911756,194.73946505551638,0.03211453565921829
8,87,193.41823111707484,193.33378748013016,0.08444363694468393
9,16,191.13419662211942,191.1303453117553,0.003851310364126448
10,87,194.75218083691834,194.62185601943625,0.1303248174820908
11,87,194.18580272833964,194.1372774120099,0.04852531632974433
12,87,192.03608252263965,191.91929256950553,0.11678995313411633
13,87,196.0222991925046,196.01321576927526,0.009083423229327536
14,87,200.8894685296507,200.8477781415762,0.04169038807449965
15,87,201.8161990156529,201.69859289899918,0.11760611665371812
16,16,190.70591670629267,190.70591670629267,0.0
17,16,192.96434411453683,192.91695367938655,0.047390435150276744
18,87,204.27078641250088,204.09971517725833,0.1710712352425503
19,87,203.57537580785464,203.44547504996666,0.12990075788798094
20,87,192.5685442066037,192.48074869727884,0.08779550932484881
21,16,191.72072631303212,191.71696698872094,0.00375932431117576
22,16,188.99750482463884,188.98354194510404,0.013962879534801687
23,87,197.1394471674465,197.1329297693463,0.006517398100186256
24,87,196.6200445416332,196.53396021433892,0.08608432729428728
25,87,196.8850035294929,196.8305008966971,0.05450263279581691
26,87,193.20050205385957,193.1115829570292,0.08891909683035237
27,16,191.89448898923737,191.88496378380825,0.009525205429127936
28,87,199.5662252864108,199.54772628060942,0.01849900580137387
29,87,197.51140781964227,197.45174448999043,0.05966332965184051
30,87,196.09366452358822,196.06435043322773,0.02931409036048649
31,87,196.86239050716793,196.8577655062558,0.004625000912142241
32,87,195.99596112762214,195.87669868736944,0.11926244025269739
33,87,195.82808672536916,195.79033981694943,0.03774690841973438
34,16,191.12585427725068,191.11776238694597,0.008091890304712024
35,87,204.30387724568516,204.16433299834466,0.13954424734049553
36,87,200.5740350395251,200.54780369493957,0.026231344585539773
37,87,195.96311215759056,195.94291503626894,0.02019712132161544
38,87,199.37995984979446,199.32201630349343,0.05794354630103271
39,87,202.49117581371152,202.38456143675725,0.10661437695426912
40,87,193.0115887305186,192.91298166292432,0.09860706759428695
41,16,190.69393841168298,190.69104823729174,0.0028901743912399525
42,87,200.0479362271272,200.01272928518662,0.03520694194057228
43,87,196.51968733047593,196.47517899015287,0.04450834032306261
44,16,188.28677077445988,188.2653940644137,0.02137671004618369
45,87,202.04586733815887,201.9698382458663,0.07602909229257193
46,16,194.17541257768957,194.10704754426817,0.06836503342140077
47,87,203.1282439600336,203.02753888287202,0.10070507716156385
48,87,198.25389787530472,198.23619400489235,0.017703870412361766
49,87,205.61821295886102,205.41296562761647,0.20524733124454997
50,87,197.85378885535974,197.79234105727414,0.061447798085595196
51,87,194.48669462107375,194.4470157855513,0.03967883552246576
52,16,189.45439407356145,189.4486099178236,0.005784155737842411
53,87,202.484894449276,202.4115274442217,0.07336700505430827
54,87,202.7413561275838,202.61896566966425,0.1223904579195505
55,16,190.75269494288344,190.74542223967336,0.007272703210077225
56,87,199.4197601377861,199.37389447492248,0.04586566286363336
57,87,203.75325292097804,203.6290779109241,0.12417501005393206
58,16,190.18593956295783,190.16855755382954,0.01738200912828347
59,87,200.16002091376856,200.14061771067773,0.019403203090831767
60,87,198.82045182596934,198.77698758804948,0.043464237919863535
61,87,197.2819532671692,197.27846167221725,0.0034915949519529477
62,87,204.28839112057338,204.11107512355764,0.1773159970157394
63,87,193.50646547513568,193.40167846458172,0.104787010553963
64,87,194.9928383982993,194.89333109288117,0.09950730541814323
65,87,195.20860434967716,195.18552403913264,0.02308031054451476
66,87,199.6227686745439,199.6039485114101,0.018820163133796086
67,87,202.97236181867405,202.87295504325283,0.09940677542121534
68,87,197.522847847174,197.52271913954158,0.00012870763242744943
69,16,193.73815308644646,193.7038473207373,0.03430576570914923
70,87,201.5269117847084,201.48046194799744,0.0464498367109627
71,87,202.9654034097465,202.86848847798032,0.09691493176617882
72,87,199.48130242893566,199.4666270927554,0.014675336180260956
73,87,194.81216554973375,194.74404771453007,0.06811783520367953
74,16,190.19614893474676,190.18782404970744,0.008324885039314722
75,16,190.6644795561601,190.64784102945322,0.016638526706884704
76,16,192.12650703627054,192.11778836245304,0.008718673817497802
77,16,191.9414062462018,191.93531753789227,0.006088708309533786
78,16,192.4882207006329,192.46348466513837,0.024736035494527187
79,87,198.87955163996534,198.86155552286328,0.01799611710205795
80,87,198.5855463055153,198.5763172748353,0.009229030679989592
81,87,203.39316111108005,203.2915348013881,0.10162630969193742
82,16,193.44724435443382,193.3938259023308,0.05341845210301699
83,87,194.13348755219997,194.09263162339954,0.040855928800425545
84,87,191.89714184537732,191.7769224554553,0.12021938992202763
85,87,197.4089598360672,197.4079915023143,0.0009683337528940683
86,87,198.31203588707535,198.26732148931282,0.044714397762533054
87,87,197.69702922241166,197.69702922241166,0.0
88,87,200.64559103974764,200.61648125471052,0.029109785037121583
89,87,202.15099340972668,202.0461660717046,0.10482733802209054
90,87,197.33158530482817,197.32901949375224,0.0025658110759252395
91,87,196.96941405808673,196.9532502786623,0.016163779424431368
92,87,201.5446694274324,201.4371089311059,0.10756049632649933
93,16,189.83924075332948,189.8367993042969,0.002441449032573928
94,87,194.60861706001808,194.52717378323146,0.08144327678661512
95,87,201.48666019334024,201.43280980574568,0.05385038759456506
96,16,191.02609770739483,191.02144951694478,0.0046481904500410565
97,87,196.88462642205747,196.87455444457757,0.010071977479896077
98,87,193.28441937949236,193.2193145547856,0.06510482470676493
99,87,199.85254366321752,199.83659640608454,0.01594725713297862
