index,leader,dist_to_leader
0,58,0.006398625045535435
1,50,0.019800510224424087
2,50,0.01819312721476725
3,50,0.021751488474330224
4,50,0.004538301815283814
5,50,0.010827473547174976
6,50,0.019222650604338438
7,50,0.019104668083913142
8,50,0.019835747162831444
9,50,0.011667567205379214
10,50,0.021845823848899246
11,50,0.012911821719760984
12,58,0.01280355261415125
13,50,0.016197561803932257
14,58,0.004274046368561868
15,50,0.008710958193101534
16,50,0.012033980941544443
17,50,0.007050344208671828
18,58,0.010518629930753122
19,50,0.008851015304170078
20,50,0.005592832534475347
21,58,0.0032045680931362176
22,58,0.005334221307208335
23,58,0.00857393252900176
24,50,0.0026026826397008026
25,50,0.003063021996400124
26,50,0.003126950477794272
27,50,0.004186553478383272
28,50,0.022592777070554668
29,50,0.009218020025397787
30,50,0.010136272019985628
31,58,0.011146552491502863
32,50,0.022202443294429802
33,50,0.015079401564650268
34,50,0.023078552465170907
35,58,0.006434393928295965
36,58,0.009081560069969236
37,58,0.002517266117126482
38,50,0.01689400574293206
39,50,0.01794519250453997
40,50,0.011135663647780758
41,58,0.009161468898892088
42,50,0.018839714771391507
43,50,0.011941539826318728
44,50,0.010001727502571542
45,50,0.01489602077528055
46,50,0.003693520879238328
47,50,0.01193631636723083
48,50,0.015569606970385435
49,50,0.015909106903792148
50,50,0.0
51,58,0.0023474015896788867
52,50,0.02008585306935141
53,50,0.022983596640419966
54,50,0.005658801986423059
55,50,0.0033699255758890627
56,50,0.01818707540710759
57,50,0.015677484926323162
58,58,0.0
59,50,0.0029781566194579585
60,58,0.0066519273595452705
61,50,0.006493830816630646
62,50,0.012946992499773146
63,50,0.006816206213138632
64,50,0.004787130870241179
65,58,0.004304357717752036
66,50,0.018291288641078332
67,50,0.019685442750932924
68,58,0.0038273850881289976
69,50,0.010818955509467617
70,58,0.00598688678853459
71,50,0.011580327578941663
72,50,0.022717153179024924
73,50,0.024233601140650794
74,50,0.00862112819100249
75,58,0.005311894356687358
76,50,0.017285354941432168
77,50,0.011342267302610266
78,58,0.005259167204094573
79,58,0.00671425630660253
80,58,0.008563718152724846
81,50,0.014886571660330063
82,50,0.0242960437786964
83,50,0.009949830827358789
84,58,0.0054326991388775215
85,50,0.013538656580912368
86,50,0.014749206458714024
87,58,0.0075304366360978035
88,50,0.012870480527897776
89,50,0.01400030458222559
90,50,0.009316791220060204
91,50,0.017439594275861427
92,50,0.008079013300037434
93,50,0.024537795631234604
94,58,0.006005457211062181
95,50,0.022440446430789695
96,50,0.01880909867035197
97,58,0.006445683289188316
98,50,0.012551382484946553
99,50,0.0064924143711126885
