t,y1(58),y2(12),y3(80),y4(22),y5(36),y6(70),y7(65),y8(0),y9(75),y10(78),y11(97),y12(60),y13(21),y14(51),y15(68),y16(37),y17(41),y18(35),y19(79),y20(23),y21(94),y22(14),y23(84),y24(87),y25(31),y26(18)
18,0.19414958436794505,0.05437699937252671,-0.17321556978233338,-0.20827768899656893,0.10084050796891665,0.18057358327447942,0.07577248400073089,0.10943626103215472,0.16797327525523065,0.003178094121091629,-0.0032865730853189334,0.19859394396323216,0.2792245973696156,-0.16855159136896344,-0.13177548361684455,0.1211293105328832,-0.09142902501611394,-0.04849223341674036,0.09420545764377479,-0.06999460506970023,0.0964418532195808,-0.02311579379074541,0.16110522045104592,-0.020757941687138518,0.04900671498869997,-0.0742173142661272
19,0.08211778166982363,-0.0776989544905328,-0.2292467313996563,-0.0625624518325032,0.08694684773867453,0.08823661347813286,0.0127834589387752,-0.06695750477477992,0.03167671477413518,0.20523555604442822,-0.020445922453974093,0.16937133877976354,0.05647174880936132,-0.1581417824064143,-0.34441221481359763,-0.030380397088916676,0.004518599404307724,0.1269486458854846,-0.11631863086119928,-0.06657455727261813,0.11499628325610531,0.14636717005847166,0.014059802541308682,-0.03843596198037869,0.003946514524349694,0.13413721894041397
20,0.028331390201512124,-0.001972912346274558,-0.14324582695561608,-0.044449886805285097,-0.2166112602052699,0.11134068906939312,0.20892919383619252,-0.27022787469728227,0.022916351990402893,-0.13019917036573267,-0.12463522099709444,-0.03207767047109759,-0.13998125842887346,0.01947637521527157,-0.13178764558992845,-0.10975475124153583,0.0826988558976334,0.1780278518858241,-0.010361010866472967,0.10123504741175252,-0.08745483673527873,0.2112071792707477,0.17309766640732993,0.061550291793478554,-0.08352164537561246,0.1526831367289798
21,0.004873963543244847,0.0493490485422538,-0.10438097311978209,-0.14651806381376248,0.0032813197669379988,-0.045506136259781206,-0.07930289463849252,0.09207437594953638,-0.020278015355743438,0.11784214205474655,0.04689976901682241,-0.17517546194887257,-0.06349983118765114,0.08656755674575001,0.07818691582762918,-0.1812797815978061,-0.17962980660792685,-0.03786737163360604,0.09505665203500817,-0.04618283443747306,-0.003123039759254112,-0.0585744940405703,0.182407369319953,0.07251118980821439,0.050527568838169994,-0.041317250697715725
22,0.10425628617552826,-0.028570464413797132,0.12597998010077377,-0.1638088543832252,-0.043080842325670776,0.22173002002861755,0.0278298340706523,-0.13948192543086493,0.15956679255630776,-0.05886607591934119,-0.08521831224011919,-0.11517341830022232,0.1523241769669029,0.22129585906576232,-0.10092775241842177,-0.006069084723933353,0.038075300037945195,0.09557265197028605,0.10645000976186811,0.054473263465399796,0.19014036047362876,0.024556674626497823,0.038617163693569906,-0.03158935066858297,-0.05206233586101021,0.030341219187031816
23,-0.047143195735091986,-0.04168672737224245,-0.09850518212618241,-0.0858901788672114,-0.058554035366826115,0.17967808337618651,0.09292533951979604,0.005316829156539762,0.0066024085796889675,-0.17318020690523994,-0.06180664744865965,0.049903309746381366,-0.12246588673585143,-0.3046765012779138,0.01975370982437641,0.06923174366029525,0.2393829458355592,0.11597044080226912,0.007827534316167298,-0.03183138534188146,0.1793064502103249,0.10471829752837675,0.05893684461001898,0.16024179560308907,-0.05113963721599224,0.03723841502627584
24,0.23121057211657225,0.16023999381988618,-0.005931283047491798,0.023136350962657558,-0.18718588611596565,0.08864941263291262,-0.025640684341813408,-0.07430380789194052,-0.049219439102035495,-0.14408933050762485,-0.11527901776194888,-0.051961005771705523,-0.09458355012180972,-0.02051373634846739,0.09907565639040765,0.1440543188948326,0.0187037298943918,0.1312505223780904,0.09091422642985603,0.060337285561994636,-0.07957282738491062,0.00016310472576941577,-0.1833698709248719,0.16681932531942015,0.03539427247429795,0.039451191978718755
25,0.041940562036043245,-0.039381214119936586,-0.004256267897191218,0.18669116858521972,0.04010224458643206,-0.21567675867439037,-0.11823641558464162,-0.0063069601995309685,-0.09547099882266447,-0.00536236357013925,0.15641292280432792,-0.024616413870243603,-0.10976563864483094,-0.13910895581319596,-0.08921817585339034,0.13204234076005092,-0.027424085904566665,-0.09337914433791793,0.07030402668664021,0.18476540739298852,0.14984763951445332,0.004083286931226095,-0.0750819430982978,-0.007200299807667565,-0.084256970845362,0.029821707512781376
26,-0.06071541302965165,0.10324948091380781,-0.21082112667654881,0.10162097616027355,0.2900733041805468,0.03226744214937559,0.13637350368864604,-0.016108461731668505,-0.06440662484973828,-0.002815627456621589,-0.2641803689255154,-0.06634271295112573,-0.07221844897332057,0.04726748552104847,-0.02996339034338672,-0.029680386816628913,-0.03027846145776194,0.02864098239464904,-0.12241727865323372,0.03427296588194556,0.09756698985261156,0.12270659079132777,-0.022291181138537605,-0.04359802432872761,-0.11106767146841026,-0.09341698708865664
27,0.05423282536004705,-0.03588251241598896,0.22131433385420032,-0.10234375271818204,0.05980031518577608,-0.09302529512147183,0.024705445535828915,-0.2643636761761413,0.10193400981524467,0.03713614991984675,0.16282656936363044,-0.20986342015229986,-0.08771562865844273,0.12265604762823959,0.04950808662468601,0.12485289938269417,-0.04861803317929896,0.24976831531144722,0.17640154462892987,-0.06691796367788232,0.07752860338993353,-0.062465465426798775,0.013683173606228853,0.007775195186585404,0.22561343447200205,0.15111193900756786
28,-0.07971324868929887,0.019297906544495293,0.15946685508298816,-0.04245827188865159,-0.08530567015481613,-0.08402921760738408,-0.1369209815103272,-0.011587339167114845,0.15001148869988146,-0.03554726614519968,0.08348009291786945,-0.10121445265157292,0.21290283423145082,0.10227787103125506,0.15331648361512612,0.025726739093315548,-0.31470290394702916,0.03989280439057144,-0.04049578691723843,-0.05666892634617968,-0.055761651212854375,-0.120892810866518,0.21065893248021617,0.07320430354126295,-0.0705517770692505,0.11282565900668576
29,-0.06111744130310372,0.07509442479519107,0.08103486485899106,-0.23185376146833658,0.020698149983182222,0.16243341810835968,0.10809423186277839,-0.14560796967726747,-0.047588881679127636,0.04123790987146684,-0.035731069340068256,0.1067553461749505,0.07399646376361045,0.1351731212119671,-0.1789004789820406,-0.09218522995265789,-0.047132098081043725,-0.1457519601888666,0.1368443423276115,-0.2284037197487459,-0.11376494806470608,0.08024748680535822,0.16362334649719223,-0.08039288843930922,-0.12593297980195897,-0.10416083973625961
