i,j,D_l
0,98,0.02268244256946237
0,99,0.022129477303866444
1,0,0.038997144110858604
1,1,0.0
1,2,0.05956113283464443
1,3,0.058546176028447854
1,4,0.055896259794263145
1,5,0.06632988199675936
1,6,0.015925233874292746
1,7,0.042742423696265755
1,8,0.036329277520598134
1,9,0.030767902721235224
1,10,0.04044336704769389
1,11,0.02545847403102804
1,12,0.003529153022604803
1,13,0.03624578259152856
1,14,0.07307583519832221
1,15,0.0370337436428743
1,16,0.05702550630845336
1,17,0.025095993190647124
1,18,0.06638059509402512
1,19,0.03346423299114057
1,20,0.06522092765772798
1,21,0.008060566742517058
1,22,0.03693601563969085
1,23,0.06676956050729835
1,24,0.01700378292325661
1,25,0.005333642497527709
1,26,0.05080340935916231
1,27,0.05175106706598486
1,28,0.03600761826638193
1,29,0.0003821560724928866
1,30,0.03621449498604448
1,31,0.00661283960002569
1,32,0.054104413084971034
1,33,0.04405926694591727
1,34,0.04239842099403301
1,35,0.041781902260936934
1,36,0.007201820833218107
1,37,9.4722219639296e-05
1,38,0.030729820034886217
1,39,0.038281165841407706
1,40,0.06500552693840224
1,41,0.04920090959062651
1,42,0.030787485486402918
1,43,0.02245893612339448
1,44,0.0018265711152359555
1,45,0.028595559506809778
1,46,0.005378264311049286
1,47,0.012795176215493323
1,48,0.04182528216273654
1,49,0.056095004686235864
1,50,0.014844724878300544
1,51,0.0687489350701074
1,52,0.054162119030775634
1,53,0.01889973439910829
1,54,0.043552805465633115
1,55,0.05462909204082135
1,56,0.05226664741741896
1,57,0.03846819087572695
1,58,0.03390919200019261
1,59,0.06329302656173304
1,60,0.054418224973438144
1,61,0.07187136484350473
1,62,0.022528442889829196
1,63,0.039433278805392276
1,64,0.06440100951774035
1,65,0.03622678474917362
1,66,0.039672418591539436
1,67,0.014036423260504086
1,68,0.0031533137612441108
1,69,0.012155142903322294
1,70,0.06887848770397127
1,71,0.040158182412896606
1,72,0.029613656090276833
1,73,0.03034811190987325
1,74,0.054822153579200804
1,75,0.03176087326551932
1,76,0.04558415770813528
1,77,0.020190633702844105
1,78,0.026931281354366926
1,79,0.014129480899399416
1,80,0.041853716160405945
1,81,0.025490897283964087
1,82,0.04803195602531444
1,83,0.01454217766252017
1,84,0.014770816524206547
1,85,0.030150503079833666
1,86,0.02450097559197528
1,87,0.04005143424167777
1,88,0.06002014088034301
1,89,0.0428147877134655
1,90,0.030021694254125392
1,91,0.03465247287667424
1,92,0.051344605193171446
1,93,0.020890669756936785
1,94,0.003966443263069696
1,95,0.06712045186949607
1,96,0.015188095959224587
1,97,0.010696946306742599
1,98,0.01632927827970694
1,99,0.016901698204388867
2,0,0.0206023206684494
2,1,0.05956113283464443
2,2,0.0
2,3,0.0013110917108372594
2,4,0.003682200603643135
2,5,0.0071185662958684415
2,6,0.04366369533977548
2,7,0.016844926256789676
2,8,0.023276523781637807
2,9,0.028845082627166105
2,10,0.01914676487056225
2,11,0.03413547273793983
2,12,0.05604025579909804
2,13,0.023345885549782133
2,14,0.013565079722524359
2,15,0.0225908906258193
2,16,0.002541050707169665
2,17,0.034515505772598896
2,18,0.0068696604510204064
2,19,0.026146883005048503
2,20,0.005801364400264779
2,21,0.05152191954844008
2,22,0.022656594139050096
2,23,0.007425752953097915
2,24,0.042582873398028416
2,25,0.05423775227767663
2,26,0.008892537302255029
2,27,0.007829519089880624
2,28,0.023583443259300424
2,29,0.059242966573823996
2,30,0.023416122259058397
2,31,0.05297339123878534
2,32,0.005473896581299748
2,33,0.015527491680308442
2,34,0.017190905195065196
2,35,0.01780610998350246
2,36,0.052373597612469444
2,37,0.05946805529184828
2,38,0.02887492591245881
2,39,0.02131923631291959
2,40,0.005513459013707897
2,41,0.010385547202608815
2,42,0.02881216616872481
2,43,0.03713710266559611
2,44,0.06136030736670283
2,45,0.03099850418767672
2,46,0.05419679450900899
2,47,0.046796285693472627
2,48,0.01777415482788732
2,49,0.0034740815304907997
2,50,0.044742016405581404
2,51,0.009359775507721603
2,52,0.005415764830738152
2,53,0.040690147836788496
2,54,0.016034298943954254
2,55,0.004969457719705149
2,56,0.007450757448852524
2,57,0.021130491157917375
2,58,0.025683593328200787
2,59,0.003956197486447758
2,60,0.005280686930532453
2,61,0.012385245994963948
2,62,0.03706455848842953
2,63,0.020183804760928015
2,64,0.005110724053011771
2,65,0.0233681739007964
2,66,0.019916598744057976
2,67,0.045551027646401135
2,68,0.06269859646375785
2,69,0.04744384667915552
2,70,0.009382988547641137
2,71,0.019447907280728587
2,72,0.029979183569394354
2,73,0.029251544483098614
2,74,0.004748155272369669
2,75,0.0278393599380576
2,76,0.014000901352481665
2,77,0.039398827051625826
2,78,0.032672895428947336
2,79,0.04545440847578934
2,80,0.017743612060179388
2,81,0.034117557579778406
2,82,0.011582264748493888
2,83,0.04504496945188946
2,84,0.044826433155218955
2,85,0.029452224615475666
2,86,0.03509315968296034
2,87,0.01955149904545066
2,88,0.0007924362130327556
2,89,0.01677202394744892
2,90,0.029573757415803113
2,91,0.024947943216755378
2,92,0.008247248072350385
2,93,0.03871298662137936
2,94,0.055613765538831385
2,95,0.0078108464570982375
2,96,0.044397016567376726
2,97,0.04888790242084156
2,98,0.04325736158620175
2,99,0.04269406460789816
3,0,0.019618779909924864
3,1,0.058546176028447854
3,2,0.0013110917108372594
3,3,0.0
3,4,0.002706774149178676
3,5,0.007904246158871584
3,6,0.042655204374450056
3,7,0.015836053420377954
3,8,0.022245644621018485
3,9,0.027812215079051253
3,10,0.01813317098671267
3,11,0.0331172697343298
3,12,0.05502404179134416
3,13,0.022333182413141722
3,14,0.014569039103453129
3,15,0.02154788948336226
3,16,0.0017047504138304318
3,17,0.033522140130039256
3,18,0.00785476679788963
3,19,0.02516254209459395
3,20,0.0066987166970429715
3,21,0.05050241215549799
3,22,0.021640684930982212
3,23,0.008284007356448709
3,24,0.04156897357441149
3,25,0.0532226151041835
3,26,0.007785942482740781
3,27,0.0068245286547596725
3,28,0.02257551336247969
3,29,0.05822508762866237
3,30,0.022370962229655202
3,31,0.05196481710455598
3,32,0.004479745625998782
3,33,0.014517408883308859
3,34,0.016201486611429557
3,35,0.01679716091908117
3,36,0.05136074005477255
3,37,0.05845333071918555
3,38,0.027847089806682747
3,39,0.02029192229478829
3,40,0.006474405090494705
3,41,0.009368184358476974
3,42,0.02781566166983174
3,43,0.03611557041979549
3,44,0.06034132309111715
3,45,0.02998134785869233
3,46,0.05318495321541078
3,47,0.04577447607043734
3,48,0.01679867124673263
3,49,0.0025569701277255385
3,50,0.0437322131433106
3,51,0.010256073364015022
3,52,0.004514939536356111
3,53,0.03968102505916842
