index,member_error_diff,bound
1,1.6409905496480377,3.4100482976995052
2,1.772426258486405,2.342459235948089
3,0.9094251091108561,2.0848684213840367
4,1.8036779073676001,1.888811660887154
5,0.6946550833092857,1.2413172695152728
6,0.3939104705098657,1.1067399578889527
7,0.3425492495496485,1.1196617708093433
8,0.20756442761953053,1.1388562245531788
9,0.7991637379908241,0.9012465992519286
10,1.3452988711289322,1.3403053766241646
11,0.7100833359789078,0.8368095523791276
12,0.10561444638859996,0.6672843824248593
13,0.8599148126522635,0.8555164140477988
14,1.0393726104869216,1.142236069550066
15,1.0271230363507584,1.1603855599653934
16,0.07461335814546999,0.7979975559350377
17,0.537020936370908,0.7669339542810332
18,0.7370060592021588,0.9383801792474339
19,0.3149847994084354,1.7817958760545425
20,0.5139288119518994,1.6197335374445196
21,0.6161998765729066,2.273124005843195
22,1.2297084368621967,2.7306441205734573
