method,group_id,leader,member,distance_to_leader,threshold_eps
groups,0,58,12,0.01280355261415125,0.028895880847217725
groups,0,58,80,0.008563718152724846,0.028895880847217725
groups,0,58,22,0.005334221307208335,0.028895880847217725
groups,0,58,36,0.009081560069969236,0.028895880847217725
groups,0,58,70,0.00598688678853459,0.028895880847217725
groups,0,58,65,0.004304357717752036,0.028895880847217725
groups,0,58,0,0.006398625045535435,0.028895880847217725
groups,0,58,75,0.005311894356687358,0.028895880847217725
groups,0,58,78,0.005259167204094573,0.028895880847217725
groups,0,58,97,0.006445683289188316,0.028895880847217725
groups,0,58,60,0.0066519273595452705,0.028895880847217725
groups,0,58,21,0.0032045680931362176,0.028895880847217725
groups,0,58,51,0.0023474015896788867,0.028895880847217725
groups,0,58,68,0.0038273850881289976,0.028895880847217725
groups,0,58,58,0.0,0.028895880847217725
groups,0,58,37,0.002517266117126482,0.028895880847217725
groups,0,58,41,0.009161468898892088,0.028895880847217725
groups,0,58,35,0.006434393928295965,0.028895880847217725
groups,0,58,79,0.00671425630660253,0.028895880847217725
groups,0,58,23,0.00857393252900176,0.028895880847217725
groups,0,58,94,0.006005457211062181,0.028895880847217725
groups,0,58,14,0.004274046368561868,0.028895880847217725
groups,0,58,84,0.0054326991388775215,0.028895880847217725
groups,0,58,87,0.0075304366360978035,0.028895880847217725
groups,0,58,31,0.011146552491502863,0.028895880847217725
groups,0,58,18,0.010518629930753122,0.028895880847217725
groups,1,50,93,0.024537795631234604,0.027073277515685223
groups,1,50,74,0.00862112819100249,0.027073277515685223
groups,1,50,90,0.009316791220060204,0.027073277515685223
groups,1,50,19,0.008851015304170078,0.027073277515685223
groups,1,50,15,0.008710958193101534,0.027073277515685223
groups,1,50,83,0.009949830827358789,0.027073277515685223
groups,1,50,5,0.010827473547174976,0.027073277515685223
groups,1,50,17,0.007050344208671828,0.027073277515685223
groups,1,50,77,0.011342267302610266,0.027073277515685223
groups,1,50,99,0.0064924143711126885,0.027073277515685223
groups,1,50,63,0.006816206213138632,0.027073277515685223
groups,1,50,45,0.01489602077528055,0.027073277515685223
groups,1,50,20,0.005592832534475347,0.027073277515685223
groups,1,50,62,0.012946992499773146,0.027073277515685223
groups,1,50,89,0.01400030458222559,0.027073277515685223
groups,1,50,88,0.012870480527897776,0.027073277515685223
groups,1,50,81,0.014886571660330063,0.027073277515685223
groups,1,50,92,0.008079013300037434,0.027073277515685223
groups,1,50,38,0.01689400574293206,0.027073277515685223
groups,1,50,64,0.004787130870241179,0.027073277515685223
groups,1,50,29,0.009218020025397787,0.027073277515685223
groups,1,50,55,0.0033699255758890627,0.027073277515685223
groups,1,50,25,0.003063021996400124,0.027073277515685223
groups,1,50,59,0.0029781566194579585,0.027073277515685223
groups,1,50,33,0.015079401564650268,0.027073277515685223
groups,1,50,66,0.018291288641078332,0.027073277515685223
groups,1,50,46,0.003693520879238328,0.027073277515685223
groups,1,50,42,0.018839714771391507,0.027073277515685223
groups,1,50,49,0.015909106903792148,0.027073277515685223
groups,1,50,27,0.004186553478383272,0.027073277515685223
groups,1,50,54,0.005658801986423059,0.027073277515685223
groups,1,50,50,0.0,0.027073277515685223
groups,1,50,24,0.0026026826397008026,0.027073277515685223
groups,1,50,56,0.01818707540710759,0.027073277515685223
groups,1,50,3,0.021751488474330224,0.027073277515685223
groups,1,50,7,0.019104668083913142,0.027073277515685223
groups,1,50,26,0.003126950477794272,0.027073277515685223
groups,1,50,53,0.022983596640419966,0.027073277515685223
groups,1,50,28,0.022592777070554668,0.027073277515685223
groups,1,50,4,0.004538301815283814,0.027073277515685223
groups,1,50,61,0.006493830816630646,0.027073277515685223
groups,1,50,69,0.010818955509467617,0.027073277515685223
groups,1,50,72,0.022717153179024924,0.027073277515685223
groups,1,50,44,0.010001727502571542,0.027073277515685223
groups,1,50,91,0.017439594275861427,0.027073277515685223
groups,1,50,9,0.011667567205379214,0.027073277515685223
groups,1,50,40,0.011135663647780758,0.027073277515685223
groups,1,50,30,0.010136272019985628,0.027073277515685223
groups,1,50,98,0.012551382484946553,0.027073277515685223
