index,leader,error,error_optimal,delta_error
80,14,427.6149502724294,427.5688063555824,0.04614391684697239
81,87,452.2400472750813,452.0073722598346,0.23267501524668432
82,14,420.7228640282627,420.3394621281738,0.3834019000888702
83,14,445.08664903008525,444.6471635276728,0.43948550241248086
84,14,447.9163812077266,447.6320293651221,0.28435184260450797
85,14,442.6564610052136,442.3969921894562,0.2594688157573728
86,14,433.23275449140965,433.2256402909852,0.007114200424439332
87,87,457.52750113829416,457.52750113829416,0.0
88,14,446.525537428838,446.24066228740304,0.2848751414349522
89,87,449.2048430249439,449.1022659626363,0.10257706230760277
90,14,455.44589600416293,454.7699768579243,0.6759191462386411
91,87,445.588535704191,445.4023536563693,0.18618204782166003
92,14,440.0546855878998,439.95907580312735,0.09560978477247772
93,87,458.4393074671504,458.42141825595183,0.01788921119856468
94,14,448.5517469535676,448.24346148002735,0.30828547354025204
95,14,438.829982283119,438.71002990740584,0.11995237571318285
96,14,454.5230705882523,453.82542593329134,0.6976446549609818
97,87,459.66981527382666,459.64162952270306,0.02818575112360122
98,14,439.8068928827881,439.62178176488754,0.18511111790053292
99,14,438.32285716428083,438.07462678706696,0.2482303772138721
