method,group_id,leader,member,distance_to_leader,threshold_eps
groups,0,87,12,0.010487022506374967,0.015264141277163135
groups,0,87,72,0.004602517974833907,0.015264141277163135
groups,0,87,9,0.004420427154309107,0.015264141277163135
groups,0,87,91,0.004454657664892561,0.015264141277163135
groups,0,87,16,0.003956276998042831,0.015264141277163135
groups,0,87,41,0.0037811872354241416,0.015264141277163135
groups,0,87,1,0.003100427460528582,0.015264141277163135
groups,0,87,93,0.00294756859022773,0.015264141277163135
groups,0,87,97,0.002853858589927785,0.015264141277163135
groups,0,87,65,0.002857463697290039,0.015264141277163135
groups,0,87,70,0.0022875804179410242,0.015264141277163135
groups,0,87,33,0.002386939606180212,0.015264141277163135
groups,0,87,78,0.002653274538756908,0.015264141277163135
groups,0,87,89,0.0033653913908967916,0.015264141277163135
groups,0,87,23,0.0015824361737857772,0.015264141277163135
groups,0,87,38,0.0035616249638734873,0.015264141277163135
groups,0,87,87,0.0,0.015264141277163135
groups,0,87,73,0.005062822403914577,0.015264141277163135
groups,0,87,13,0.0019416258990901634,0.015264141277163135
groups,0,87,44,0.006179440457323246,0.015264141277163135
groups,0,87,25,0.0031536236842354157,0.015264141277163135
groups,0,87,52,0.0034130498941969717,0.015264141277163135
groups,0,87,36,0.005600530516905957,0.015264141277163135
groups,0,87,64,0.004128460486242596,0.015264141277163135
groups,0,87,35,0.004357914575282351,0.015264141277163135
groups,0,87,6,0.005424398783814081,0.015264141277163135
groups,0,87,0,0.0065519707669686395,0.015264141277163135
groups,0,87,22,0.006400743671150931,0.015264141277163135
groups,0,87,59,0.007153789422439686,0.015264141277163135
groups,0,87,2,0.009251423484125434,0.015264141277163135
groups,0,87,81,0.009060131769764746,0.015264141277163135
groups,1,14,82,0.02120955336598058,0.03655876464083829
groups,1,14,18,0.008586352195710547,0.03655876464083829
groups,1,14,84,0.008460430792695902,0.03655876464083829
groups,1,14,68,0.008485047254518372,0.03655876464083829
groups,1,14,94,0.00825270421974234,0.03655876464083829
groups,1,14,29,0.008175765343628493,0.03655876464083829
groups,1,14,50,0.007488425901711902,0.03655876464083829
groups,1,14,21,0.010358781937534114,0.03655876464083829
groups,1,14,53,0.006632415833247952,0.03655876464083829
groups,1,14,11,0.006186844301398392,0.03655876464083829
groups,1,14,42,0.011500011916935837,0.03655876464083829
groups,1,14,67,0.012047026449949446,0.03655876464083829
groups,1,14,37,0.01201319943876872,0.03655876464083829
groups,1,14,19,0.01287775437875525,0.03655876464083829
groups,1,14,61,0.0129077503239446,0.03655876464083829
groups,1,14,71,0.004260059472237458,0.03655876464083829
groups,1,14,76,0.014076249122702538,0.03655876464083829
groups,1,14,60,0.014719742195266764,0.03655876464083829
groups,1,14,86,0.002687912975553417,0.03655876464083829
groups,1,14,32,0.015118576784490842,0.03655876464083829
groups,1,14,62,0.015483018536482157,0.03655876464083829
groups,1,14,34,0.00189576670503352,0.03655876464083829
groups,1,14,54,0.016098054547912886,0.03655876464083829
groups,1,14,88,0.005503987762833118,0.03655876464083829
groups,1,14,90,0.017107718607120917,0.03655876464083829
groups,1,14,80,0.0023625752113367164,0.03655876464083829
groups,1,14,14,0.0,0.03655876464083829
groups,1,14,3,0.018070791748522934,0.03655876464083829
groups,1,14,10,0.0007872302555995449,0.03655876464083829
groups,1,14,92,0.003334863422452664,0.03655876464083829
groups,1,14,24,0.002535916384644376,0.03655876464083829
groups,1,14,66,0.0016238340438274157,0.03655876464083829
groups,1,14,31,0.002423068173043511,0.03655876464083829
groups,1,14,69,0.0025040727899325143,0.03655876464083829
groups,1,14,96,0.02019842399030495,0.03655876464083829
groups,1,14,83,0.020400033320493293,0.03655876464083829
groups,1,14,74,0.0032298950994935536,0.03655876464083829
groups,1,14,8,0.02085935371897017,0.03655876464083829
groups,1,14,46,0.02086395206019821,0.03655876464083829
groups,1,14,75,0.0034498934413076804,0.03655876464083829
groups,1,14,63,0.021186673163408408,0.03655876464083829
groups,1,14,57,0.021394400465457417,0.03655876464083829
groups,1,14,79,0.021455758504950094,0.03655876464083829
groups,1,14,30,0.02148850083512326,0.03655876464083829
groups,1,14,49,0.021729623804009307,0.03655876464083829
groups,1,14,95,0.004813305609891346,0.03655876464083829
groups,1,14,85,0.005662249700535431,0.03655876464083829
groups,1,14,20,0.005848302813963009,0.03655876464083829
groups,1,14,98,0.006601735509161065,0.03655876464083829
groups,1,14,56,0.007177840611869062,0.03655876464083829
groups,1,14,28,0.007796732050967446,0.03655876464083829
groups,1,14,55,0.00930693482478687,0.03655876464083829
groups,1,14,5,0.010485588046696184,0.03655876464083829
groups,1,14,58,0.010554330342443172,0.03655876464083829
groups,1,14,99,0.01063855493115193,0.03655876464083829
groups,1,14,15,0.010924153302998188,0.03655876464083829
groups,1,14,40,0.011318925955611951,0.03655876464083829
groups,1,14,43,0.012160969864712882,0.03655876464083829
groups,1,14,47,0.014319755062413156,0.03655876464083829
groups,1,14,27,0.015528982094098599,0.03655876464083829
groups,1,14,45,0.016756407972458438,0.03655876464083829
groups,1,14,4,0.016970499961501188,0.03655876464083829
groups,1,14,7,0.01713257133195731,0.03655876464083829
groups,1,14,51,0.017370886828904687,0.03655876464083829
groups,1,14,26,0.018695251034580897,0.03655876464083829
groups,1,14,48,0.018263507180187356,0.03655876464083829
groups,1,14,39,0.01868597692106525,0.03655876464083829
groups,1,14,17,0.0195136092093582,0.03655876464083829
groups,1,14,77,0.019098985414500367,0.03655876464083829
groupsm,0,6,12,0.005109445640720002,0.015030985664921892
groupsm,0,6,25,0.004027603645956258,0.015030985664921892
groupsm,0,6,52,0.0035456384977546797,0.015030985664921892
groupsm,0,6,44,0.003065793775833928,0.015030985664921892
groupsm,0,6,36,0.0014292219348904188,0.015030985664921892
groupsm,0,6,64,0.0013068687627446334,0.015030985664921892
groupsm,0,6,35,0.0022710504485347264,0.015030985664921892
groupsm,0,6,6,0.0,0.015030985664921892
groupsm,0,6,73,0.004712766573557923,0.015030985664921892
groupsm,0,6,0,0.0053950229771358715,0.015030985664921892
groupsm,0,6,38,0.005577582969664481,0.015030985664921892
groupsm,0,6,22,0.0009788588774821054,0.015030985664921892
groupsm,0,6,59,0.0017946118037560949,0.015030985664921892
groupsm,0,6,2,0.003981896742660907,0.015030985664921892
groupsm,0,6,81,0.003653607934168598,0.015030985664921892
groupsm,1,45,82,0.004454529772835534,0.04733894122877036
groupsm,1,45,47,0.00248816794309366,0.04733894122877036
groupsm,1,45,27,0.004976379083987591,0.04733894122877036
groupsm,1,45,43,0.004754364646098177,0.04733894122877036
groupsm,1,45,40,0.005438994389569036,0.04733894122877036
groupsm,1,45,45,0.0,0.04733894122877036
groupsm,1,45,15,0.005878687711692837,0.04733894122877036
groupsm,1,45,4,0.001949640771518542,0.04733894122877036
groupsm,1,45,7,0.002499648316803499,0.04733894122877036
groupsm,1,45,99,0.006261022522572603,0.04733894122877036
groupsm,1,45,58,0.006261283524214424,0.04733894122877036
groupsm,1,45,5,0.006287379141372725,0.04733894122877036
groupsm,1,45,51,0.0015797492586036618,0.04733894122877036
groupsm,1,45,26,0.00309968305786107,0.04733894122877036
groupsm,1,45,48,0.002749373843638007,0.04733894122877036
groupsm,1,45,55,0.007622106583172773,0.04733894122877036
groupsm,1,45,39,0.001943707883421022,0.04733894122877036
groupsm,1,45,17,0.0028544085996207113,0.04733894122877036
groupsm,1,45,77,0.0023439295059361435,0.04733894122877036
groupsm,2,42,18,0.0031662352232268297,0.027621267527549787
groupsm,2,42,54,0.004605460304935351,0.027621267527549787
groupsm,2,42,67,0.004260189529046643,0.027621267527549787
groupsm,2,42,68,0.004202848117098241,0.027621267527549787
groupsm,2,42,60,0.004002915577838962,0.027621267527549787
groupsm,2,42,62,0.004063660795998447,0.027621267527549787
groupsm,2,42,90,0.005634372387373519,0.027621267527549787
groupsm,2,42,32,0.0036496969577036425,0.027621267527549787
groupsm,2,42,94,0.0033811453849129742,0.027621267527549787
groupsm,2,42,84,0.0031495934350506518,0.027621267527549787
groupsm,2,42,11,0.005405908695810949,0.027621267527549787
groupsm,2,42,50,0.004099113131739762,0.027621267527549787
groupsm,2,42,3,0.006575359404171863,0.027621267527549787
groupsm,2,42,76,0.0026089249578976166,0.027621267527549787
groupsm,2,42,61,0.001409109177072942,0.027621267527549787
groupsm,2,42,19,0.0030089360180025706,0.027621267527549787
groupsm,2,42,37,0.000515199030144193,0.027621267527549787
groupsm,2,42,42,0.0,0.027621267527549787
groupsm,2,42,53,0.0048679176088538174,0.027621267527549787
groupsm,2,42,29,0.0033308606762328364,0.027621267527549787
groupsm,2,42,21,0.002450116212874477,0.027621267527549787
groupsm,3,16,72,0.003369110160992284,0.01854441211361768
groupsm,3,16,33,0.003504552932098037,0.01854441211361768
groupsm,3,16,13,0.0055216731854212985,0.01854441211361768
groupsm,3,16,97,0.0027990635559548317,0.01854441211361768
