index,leader,dist_to_leader
0,87,0.0065519707669686395
1,87,0.003100427460528582
2,87,0.009251423484125434
3,14,0.018070791748522934
4,14,0.016970499961501188
5,14,0.010485588046696184
6,87,0.005424398783814081
7,14,0.01713257133195731
8,14,0.02085935371897017
9,87,0.004420427154309107
10,14,0.0007872302555995449
11,14,0.006186844301398392
12,87,0.010487022506374967
13,87,0.0019416258990901634
14,14,0.0
15,14,0.010924153302998188
16,87,0.003956276998042831
17,14,0.0195136092093582
18,14,0.008586352195710547
19,14,0.01287775437875525
20,14,0.005848302813963009
21,14,0.010358781937534114
22,87,0.006400743671150931
23,87,0.0015824361737857772
24,14,0.002535916384644376
25,87,0.0031536236842354157
26,14,0.018695251034580897
27,14,0.015528982094098599
28,14,0.007796732050967446
29,14,0.008175765343628493
30,14,0.02148850083512326
31,14,0.002423068173043511
32,14,0.015118576784490842
33,87,0.002386939606180212
34,14,0.00189576670503352
35,87,0.004357914575282351
36,87,0.005600530516905957
37,14,0.01201319943876872
38,87,0.0035616249638734873
39,14,0.01868597692106525
40,14,0.011318925955611951
41,87,0.0037811872354241416
42,14,0.011500011916935837
43,14,0.012160969864712882
44,87,0.006179440457323246
45,14,0.016756407972458438
46,14,0.02086395206019821
47,14,0.014319755062413156
48,14,0.018263507180187356
49,14,0.021729623804009307
50,14,0.007488425901711902
51,14,0.017370886828904687
52,87,0.0034130498941969717
53,14,0.006632415833247952
54,14,0.016098054547912886
55,14,0.00930693482478687
56,14,0.007177840611869062
57,14,0.021394400465457417
58,14,0.010554330342443172
59,87,0.007153789422439686
60,14,0.014719742195266764
61,14,0.0129077503239446
62,14,0.015483018536482157
63,14,0.021186673163408408
64,87,0.004128460486242596
65,87,0.002857463697290039
66,14,0.0016238340438274157
67,14,0.012047026449949446
68,14,0.008485047254518372
69,14,0.0025040727899325143
70,87,0.0022875804179410242
71,14,0.004260059472237458
72,87,0.004602517974833907
73,87,0.005062822403914577
74,14,0.0032298950994935536
75,14,0.0034498934413076804
76,14,0.014076249122702538
77,14,0.019098985414500367
78,87,0.002653274538756908
79,14,0.021455758504950094
80,14,0.0023625752113367164
81,87,0.009060131769764746
82,14,0.02120955336598058
83,14,0.020400033320493293
84,14,0.008460430792695902
85,14,0.005662249700535431
86,14,0.002687912975553417
87,87,0.0
88,14,0.005503987762833118
89,87,0.0033653913908967916
90,14,0.017107718607120917
91,87,0.004454657664892561
92,14,0.003334863422452664
93,87,0.00294756859022773
94,14,0.00825270421974234
95,14,0.004813305609891346
96,14,0.02019842399030495
97,87,0.002853858589927785
98,14,0.006601735509161065
99,14,0.01063855493115193
