delta_m,delta_M,D_l
0.116,0.026000000000000002,0.010049444779605395
0.116,0.027000000000000003,0.009668105123453823
0.116,0.028000000000000004,0.009297425738283122
0.116,0.028999999999999998,0.008938722049580461
0.12000000000000001,0.01,0.014967661445079378
0.12000000000000001,0.011,0.01449306432053805
0.12000000000000001,0.012,0.014022052898746593
0.12000000000000001,0.013000000000000001,0.013554927409057185
0.12000000000000001,0.014,0.013092001752813252
0.12000000000000001,0.015,0.012633590725268914
0.12000000000000001,0.016,0.012179997488378714
0.12000000000000001,0.017,0.011731509725326432
0.12000000000000001,0.018000000000000002,0.011288412182131996
0.12000000000000001,0.019000000000000003,0.01085101606685801
0.12000000000000001,0.02,0.010419697617056044
0.12000000000000001,0.020999999999999998,0.009994936385230496
0.12000000000000001,0.022,0.009577348452515427
0.12000000000000001,0.023,0.00916771519051217
0.12000000000000001,0.024,0.00876701045820223
0.12000000000000001,0.025,0.008376428190888728
0.12000000000000001,0.026000000000000002,0.007997409544917783
0.12000000000000001,0.027000000000000003,0.007631665320751247
0.12000000000000001,0.028000000000000004,0.007281187137478592
0.12000000000000001,0.028999999999999998,0.0069482434093242704
0.124,0.01,0.012925829115352321
0.124,0.011,0.012444522808644299
0.124,0.012,0.011966919701866497
0.124,0.013000000000000001,0.011493414529066897
0.124,0.014,0.01102445311632931
0.124,0.015,0.010560521997837101
0.124,0.016,0.010102124052484918
0.124,0.017,0.009649748052259906
0.124,0.018000000000000002,0.009203857757990588
0.124,0.019000000000000003,0.008764927626041705
0.124,0.02,0.008333523061234383
0.124,0.020999999999999998,0.007910394738653348
0.124,0.022,0.00749656211323104
0.124,0.023,0.007093384245732003
0.124,0.024,0.006702627042617774
0.124,0.025,0.006326530103505855
0.124,0.026000000000000002,0.005967862016527678
0.124,0.027000000000000003,0.0056299423408957975
0.124,0.028000000000000004,0.005316624278222125
0.124,0.028999999999999998,0.005032294994637504
0.128,0.01,0.010906020658807955
0.128,0.011,0.010415955478757
0.128,0.012,0.009929554071470956
0.128,0.013000000000000001,0.009447294713547823
0.128,0.014,0.008969755819033141
0.128,0.015,0.008497634446928432
0.128,0.016,0.008031748332919416
0.128,0.017,0.007572995732609798
0.128,0.018000000000000002,0.007122271828190959
0.128,0.019000000000000003,0.0066804322640675986
0.128,0.02,0.006248428412601172
0.128,0.020999999999999998,0.00582758067818316
0.128,0.022,0.0054198496299277124
0.128,0.023,0.005028062488951076
0.128,0.024,0.004656125501240692
0.128,0.025,0.004309198639440625
0.128,0.026000000000000002,0.003993742541574995
0.128,0.027000000000000003,0.0037175042358030433
0.128,0.028000000000000004,0.003490062675424026
0.128,0.028999999999999998,0.003325753490444682
0.132,0.01,0.00892324480632454
0.132,0.011,0.008421613535073537
0.132,0.012,0.007923283555819163
0.132,0.013000000000000001,0.007428791996723349
0.132,0.014,0.006938817452623141
0.132,0.015,0.0064542349857811335
0.132,0.016,0.005976196807814901
0.132,0.017,0.005506228195347146
0.132,0.018000000000000002,0.005046241805111605
0.132,0.019000000000000003,0.004598295351189463
0.132,0.02,0.004164451347835996
0.132,0.020999999999999998,0.0037475928196359825
0.132,0.022,0.0033527556895863045
0.132,0.023,0.0029882837719719976
0.132,0.024,0.0026666955052967547
0.132,0.025,0.0024049702354323635
0.132,0.026000000000000002,0.002227936562439734
0.132,0.027000000000000003,0.002190016397937491
0.132,0.028000000000000004,0.0023384262761887297
