index,member_error_diff,bound
31,0.45763185047265154,13.776470275751521
32,0.18128970249454568,3.5416005415474556
33,0.17673777071559726,3.478245249853973
34,0.17623886784297582,3.490596382521883
35,0.17213917502385812,3.3746752318638977
36,0.17253246313666892,3.336608750175489
37,0.15637604304136232,3.0033772606978455
38,0.21840216666189605,4.48264983914642
39,0.140019827357726,2.6046968821330774
40,0.12877575099162186,2.4039019981358907
41,0.24171877474770298,5.142792884472598
42,0.2509871378518014,5.4762627864015485
43,0.2523207663931615,5.455300429094413
44,0.27102457450541806,6.0059299699875135
45,0.2708722165833706,6.025608823307671
46,0.09003100943208864,1.583657493369613
47,0.2957873484235449,6.824781749943508
48,0.30678422088090684,7.294166109473579
49,0.056986443265870435,0.9659074411170921
50,0.3156966798373304,7.5965426560683245
51,0.32526106746081496,7.880991607144672
52,0.04000404608823516,0.6701599787888026
53,0.3374638466358846,8.379798198062883
54,0.017767635984654362,2.104578838445059
55,0.3563755849390162,9.254698238977895
56,0.004752575250932978,0.8432496227159686
57,0.3770652255456284,10.162722370776308
58,0.01671017278768261,0.2721629962756813
59,0.02417886800284208,1.2149587716960606
60,0.02709720636696744,0.9083915646360609
61,0.03422364273308176,0.5708625951064413
62,0.04823490129407304,0.865928819478382
63,0.049676238362543756,0.8963888458460855
64,0.42062273364948766,12.483345980186462
65,0.4263310118405883,12.730052653651285
66,0.068566933664016,1.174073835257342
67,0.4348866144336725,13.312378144623514
68,0.4349447346857147,13.318356051410044
69,0.07199775053088331,1.2599790349714572
70,0.4418609729029015,13.74559172765999
71,0.4470468960110878,14.028888507549535
72,0.4470703370918372,14.113857733438804
73,0.4492971096397156,14.159444910797452
74,0.4536831152010308,14.50053109525489
75,0.1013903552177382,1.8116168820323237
76,0.11776346864289167,2.173072484662704
77,0.12408732619950058,2.254264928186322
78,0.139571644863004,2.590727367617816
79,0.1529363922900444,2.8566976995418654
80,0.16563968621737502,3.151349626516383
81,0.19753141918816652,3.9127605569951824
82,0.22433109152808584,4.553759680179772
83,0.22546946720095207,4.5925348978300295
84,0.22669536645913269,4.640262128536555
85,0.23356331108696082,4.803925080436389
86,0.2424590189810658,5.034920990660697
87,0.25982504349651947,5.547211686156579
88,0.30718208365593824,6.999810381780043
89,0.3326095092727357,7.917439045241818
90,0.360375911917842,8.941895484898525
91,0.36510320201821145,9.131410648947805
92,0.3686196845567693,9.27718275788242
93,0.3738333390119024,9.495249787614016
94,0.40208228790194767,10.79511852660268
95,0.3932970518905705,10.354005403408525
96,0.4025132011435417,10.785454378983408
97,0.4206319309534692,11.682801646972589
98,0.4114068369432786,11.224232123518881
