method,group_id,leader,member,member_error_diff,bound,bound_violated
groups,0,87,87,0.0,0.0,False
groups,0,87,12,0.2452958363488662,31.350484779054455,False
groups,0,87,72,0.1017311703767092,7.317716366273639,False
groups,0,87,9,0.10055919974086436,6.938665113957253,False
groups,0,87,91,0.09980031980334303,7.0091429155087415,False
groups,0,87,16,0.09203835388898796,6.016689246290834,False
groups,0,87,41,0.08258222577321561,5.684290692525385,False
groups,0,87,1,0.071809263321029,4.463883639336856,False
groups,0,87,93,0.06979693275544463,4.204387275060128,False
groups,0,87,97,0.06768253460598572,4.047755055329999,False
groups,0,87,65,0.06686863048959424,4.053746996654131,False
groups,0,87,70,0.05298059853100767,3.1385845046094634,False
groups,0,87,33,0.030256305035983644,3.293660585972964,False
groups,0,87,78,0.028097266868961412,3.71854421248866,False
groups,0,87,89,0.022502106528705212,4.9259090567527375,False
groups,0,87,23,0.020649903188108,2.087688729803232,False
groups,0,87,38,0.0026914358878897815,5.278562567351037,False
groups,0,87,87,0.0,0.0,False
groups,0,87,73,0.018673898861713667,8.3239326475724,False
groups,0,87,13,0.03436690006243737,2.612457340727403,False
groups,0,87,44,0.058553361888286304,11.102443013295902,False
groups,0,87,25,0.07376876064735427,4.555380569402734,False
groups,0,87,52,0.08010462551915509,5.0107169335076795,False
groups,0,87,36,0.09636066644844732,9.596450513949945,False
groups,0,87,64,0.09731142186583241,6.351593440174582,False
groups,0,87,35,0.10266094637236023,6.810867504563275,False
groups,0,87,6,0.12792856027818544,9.167197793767173,False
groups,0,87,0,0.15127578792316143,12.158069235591988,False
groups,0,87,22,0.15085559452296593,11.720677791169228,False
groups,0,87,59,0.16803621583107997,14.032325801116295,False
groups,0,87,2,0.2149215740736352,22.975205548907745,False
groups,0,87,81,0.21284828828998315,21.94510549783813,False
groups,1,14,14,0.0,0.0,False
groups,1,14,82,0.45763185047265154,13.776470275751521,False
groups,1,14,18,0.18128970249454568,3.5416005415474556,False
groups,1,14,84,0.17673777071559726,3.478245249853973,False
groups,1,14,68,0.17623886784297582,3.490596382521883,False
groups,1,14,94,0.17213917502385812,3.3746752318638977,False
groups,1,14,29,0.17253246313666892,3.336608750175489,False
groups,1,14,50,0.15637604304136232,3.0033772606978455,False
groups,1,14,21,0.21840216666189605,4.48264983914642,False
groups,1,14,53,0.140019827357726,2.6046968821330774,False
groups,1,14,11,0.12877575099162186,2.4039019981358907,False
groups,1,14,42,0.24171877474770298,5.142792884472598,False
groups,1,14,67,0.2509871378518014,5.4762627864015485,False
groups,1,14,37,0.2523207663931615,5.455300429094413,False
groups,1,14,19,0.27102457450541806,6.0059299699875135,False
groups,1,14,61,0.2708722165833706,6.025608823307671,False
groups,1,14,71,0.09003100943208864,1.583657493369613,False
groups,1,14,76,0.2957873484235449,6.824781749943508,False
groups,1,14,60,0.30678422088090684,7.294166109473579,False
groups,1,14,86,0.056986443265870435,0.9659074411170921,False
groups,1,14,32,0.3156966798373304,7.5965426560683245,False
groups,1,14,62,0.32526106746081496,7.880991607144672,False
groups,1,14,34,0.04000404608823516,0.6701599787888026,False
groups,1,14,54,0.3374638466358846,8.379798198062883,False
groups,1,14,88,0.017767635984654362,2.104578838445059,False
groups,1,14,90,0.3563755849390162,9.254698238977895,False
groups,1,14,80,0.004752575250932978,0.8432496227159686,False
groups,1,14,14,0.0,0.0,False
groups,1,14,3,0.3770652255456284,10.162722370776308,False
groups,1,14,10,0.01671017278768261,0.2721629962756813,False
groups,1,14,92,0.02417886800284208,1.2149587716960606,False
groups,1,14,24,0.02709720636696744,0.9083915646360609,False
groups,1,14,66,0.03422364273308176,0.5708625951064413,False
groups,1,14,31,0.04823490129407304,0.865928819478382,False
groups,1,14,69,0.049676238362543756,0.8963888458460855,False
groups,1,14,96,0.42062273364948766,12.483345980186462,False
groups,1,14,83,0.4263310118405883,12.730052653651285,False
groups,1,14,74,0.068566933664016,1.174073835257342,False
groups,1,14,8,0.4348866144336725,13.312378144623514,False
groups,1,14,46,0.4349447346857147,13.318356051410044,False
groups,1,14,75,0.07199775053088331,1.2599790349714572,False
groups,1,14,63,0.4418609729029015,13.74559172765999,False
groups,1,14,57,0.4470468960110878,14.028888507549535,False
groups,1,14,79,0.4470703370918372,14.113857733438804,False
groups,1,14,30,0.4492971096397156,14.159444910797452,False
groups,1,14,49,0.4536831152010308,14.50053109525489,False
groups,1,14,95,0.1013903552177382,1.8116168820323237,False
groups,1,14,85,0.11776346864289167,2.173072484662704,False
groups,1,14,20,0.12408732619950058,2.254264928186322,False
groups,1,14,98,0.139571644863004,2.590727367617816,False
groups,1,14,56,0.1529363922900444,2.8566976995418654,False
groups,1,14,28,0.16563968621737502,3.151349626516383,False
groups,1,14,55,0.19753141918816652,3.9127605569951824,False
groups,1,14,5,0.22433109152808584,4.553759680179772,False
groups,1,14,58,0.22546946720095207,4.5925348978300295,False
groups,1,14,99,0.22669536645913269,4.640262128536555,False
groups,1,14,15,0.23356331108696082,4.803925080436389,False
groups,1,14,40,0.2424590189810658,5.034920990660697,False
groups,1,14,43,0.25982504349651947,5.547211686156579,False
groups,1,14,47,0.30718208365593824,6.999810381780043,False
groups,1,14,27,0.3326095092727357,7.917439045241818,False
groups,1,14,45,0.360375911917842,8.941895484898525,False
groups,1,14,4,0.36510320201821145,9.131410648947805,False
groups,1,14,7,0.3686196845567693,9.27718275788242,False
groups,1,14,51,0.3738333390119024,9.495249787614016,False
groups,1,14,26,0.40208228790194767,10.79511852660268,False
groups,1,14,48,0.3932970518905705,10.354005403408525,False
groups,1,14,39,0.4025132011435417,10.785454378983408,False
groups,1,14,17,0.4206319309534692,11.682801646972589,False
groups,1,14,77,0.4114068369432786,11.224232123518881,False
