index,leader,error
0,58,9.789037027144182
1,50,9.697051731759995
2,50,9.654768712126332
3,50,9.742399779162895
4,50,9.704391430311272
5,50,9.76085005551136
6,50,9.659721314519338
7,50,9.798614340085605
8,50,9.649227543749868
9,50,9.627720309937573
10,50,9.630043311774337
11,50,9.62747739437964
12,58,9.963755960324104
13,50,9.676047314126109
14,58,9.891826456746386
15,50,9.84146840731858
16,50,9.716278498429583
17,50,9.820204170106015
18,58,9.94266261603055
19,50,9.84292172090303
20,50,9.804865457670267
21,58,9.818498176413485
22,58,9.824764241423072
23,58,9.933602483340051
24,50,9.727212575352425
25,50,9.768798331644534
26,50,9.770419036524792
27,50,9.789670931773127
28,50,9.761667421808163
29,50,9.67885842215808
30,50,9.659998835824654
31,58,9.925771755098328
32,50,9.652550406107297
33,50,9.79188155150489
34,50,9.589773906117422
35,58,9.909248888096178
36,58,9.790010795436352
37,58,9.869863607507742
38,50,9.716986197509447
39,50,9.61043737080425
40,50,9.737497354925603
41,58,9.857786453775658
42,50,9.732570132053102
43,50,9.678271409337093
44,50,9.645122484301815
45,50,9.70340954569367
46,50,9.7232083082862
47,50,9.640474690037902
48,50,9.715811161118253
49,50,9.807852686518803
50,50,9.749824849246908
51,58,9.846877086903925
52,50,9.60285594694529
53,50,9.754102692069608
54,50,9.70396350011005
55,50,9.75511086100077
56,50,9.871415173935633
57,50,9.62348162277051
58,58,9.847963978178212
59,50,9.778739852317127
60,58,9.893084054993015
61,50,9.767841466462846
62,50,9.761398795646718
63,50,9.764949212805542
64,50,9.72525323403289
65,58,9.82403754015571
66,50,9.73421949818746
67,50,9.597225561365311
68,58,9.82766040395705
69,50,9.784903581215456
70,58,9.864846996045072
71,50,9.707617368886348
72,50,9.877134468692521
73,50,9.632026909153064
74,50,9.827137417188656
75,58,9.795734028505958
76,50,9.646448874715748
77,50,9.762071012273758
78,58,9.866625152057203
79,58,9.864158812518237
80,58,9.89966303797275
81,50,9.744330617534951
82,50,9.603930043432072
83,50,9.688157592282362
84,58,9.873514117034155
85,50,9.658953105087114
86,50,9.699902363712239
87,58,9.92534968534851
88,50,9.846690844365522
89,50,9.741721806643932
90,50,9.774109316943617
91,50,9.761049168583824
92,50,9.830085529012456
93,50,9.586712630974011
94,58,9.909844273195711
95,50,9.580959941537259
96,50,9.691051952717364
97,58,9.792637333182363
98,50,9.728217292822523
99,50,9.791622231873168
