i,j,D_l
1,8,0.005237059071950657
1,9,0.014497798826056823
1,10,0.006770411281968163
1,11,0.011053090506195705
1,12,0.06129442188597138
1,13,0.004152849005233738
1,14,0.05325337805363846
1,15,0.025853610245937946
1,16,0.007768845427491664
1,17,0.025470653751435084
1,18,0.059280672304539574
1,19,0.025977809543770127
1,20,0.02434190679672021
1,21,0.0473377313447914
1,22,0.04474044410852876
1,23,0.05232663004477399
1,24,0.020356059461981102
1,25,0.02277498462751164
1,26,0.0173839041469513
1,27,0.02025686381223821
1,28,0.04231174305449685
1,29,0.02480107885624028
1,30,0.011714139547350167
1,31,0.06071738558302344
1,32,0.0042653597030212695
1,33,0.034871487535542305
1,34,0.011013675189610626
1,35,0.05066826651759684
1,36,0.057518748424802056
1,37,0.04959440458333045
1,38,0.03640840019002545
1,39,0.010483269575802937
1,40,0.008777023356821827
1,41,0.059142730525028685
1,42,0.03845744807876531
1,43,0.008515158043415651
1,44,0.01511965881226305
1,45,0.034256062250458685
1,46,0.022250253276514732
1,47,0.010927458623490564
1,48,0.004263529705786939
1,49,0.035685284147473656
1,50,0.019800510224424087
1,51,0.047726852048157846
1,52,0.010532120778314303
1,53,0.04267936521674704
1,54,0.02211748297942948
1,55,0.023163967823264048
1,56,0.0374775619531684
1,57,0.00988430982789465
1,58,0.0500460478815547
1,59,0.022219839637741587
1,60,0.045266145360832344
1,61,0.013789711011756297
1,62,0.032705629923961685
1,63,0.026612451911745754
1,64,0.02418287559674624
1,65,0.045815776886385697
1,66,0.03791774953576901
1,67,0.01137532203236949
1,68,0.053449565154985015
1,69,0.010674348069373094
1,70,0.044412892648106286
1,71,0.008269201545865851
1,72,0.04226977152117277
1,73,0.006269743135565
1,74,0.02743182835035883
1,75,0.049063882242141775
1,76,0.006474932909673338
1,77,0.03111098012424817
1,78,0.045179327856214486
1,79,0.05674136019376681
1,80,0.043043826157028585
1,81,0.0345693229479292
1,82,0.009071472851062051
1,83,0.028594688993051558
1,84,0.055441130699656865
1,85,0.007652803223579943
1,86,0.005103988361703853
1,87,0.05290973020812058
1,88,0.03200270497010135
1,89,0.033672022672858744
1,90,0.02911311328484575
1,91,0.006184777480477358
1,92,0.022197206163480004
1,93,0.010935710376341128
1,94,0.05239122121865865
1,95,0.012282818575297057
1,96,0.0011251162854088064
1,97,0.05153021123091037
1,98,0.007305439732785341
1,99,0.026090953478853804
2,0,0.04832630202408617
2,1,0.00518816919886004
2,2,0.0
2,3,0.039394274130231756
2,4,0.01449268866572729
2,5,0.028763591182486215
2,6,0.0012247216894123883
2,7,0.03712541227555543
2,8,0.0016591755782816612
2,9,0.011720525006437162
2,10,0.0036866949786961054
2,11,0.007875346015965597
2,12,0.059874860634663754
2,13,0.002251448817031489
2,14,0.051665057306665006
2,15,0.025189452464602656
2,16,0.006882665864594355
2,17,0.02449264186245149
2,18,0.057803836129826654
2,19,0.025324216162585306
2,20,0.023218413976936404
2,21,0.045541173525264815
2,22,0.04300223125191675
