method,group_id,leader,member,delta_error,leader_error,optimal_error
groups,0,87,59,0.10647193338127181,455.25284780636815,455.1463758729869
groups,0,87,2,0.10002911135723025,462.22066467619726,462.12063556484003
groups,0,87,81,0.23267501524668432,452.2400472750813,452.0073722598346
groups,1,14,82,0.3834019000888702,420.7228640282627,420.3394621281738
groups,1,14,18,0.07617092147404492,433.85764399939836,433.7814730779243
groups,1,14,84,0.28435184260450797,447.9163812077266,447.6320293651221
groups,1,14,68,0.4180484503133357,451.12671986491046,450.7086714145971
groups,1,14,94,0.30828547354025204,448.5517469535676,448.24346148002735
groups,1,14,29,0.06803870387454936,438.0071520902429,437.9391133863684
groups,1,14,50,0.24719355511535923,446.89729916483503,446.6501056097197
groups,1,14,21,0.1000588093330066,436.5184838551053,436.41842504577227
groups,1,14,53,0.053567419110436276,438.30466342315395,438.2510960040435
groups,1,14,11,0.22567572175131545,446.2325008635502,446.00682514179886
groups,1,14,42,0.17385460984286283,442.8996003480918,442.7257457382489
groups,1,14,67,0.5344786958658005,453.53449453924287,453.00001584337707
groups,1,14,37,0.20006621945839242,443.87216647911833,443.67210025965994
groups,1,14,19,0.1576445771513022,436.8402447933133,436.682600216162
groups,1,14,61,0.23565573679638874,444.8801657135009,444.6445099767045
groups,1,14,71,0.026983911003242156,437.0725200386856,437.04553612768234
groups,1,14,76,0.19451214380808324,440.22845392576585,440.03394178195776
groups,1,14,60,0.6050312772949837,454.60846223929065,454.00343096199566
groups,1,14,86,0.007114200424439332,433.23275449140965,433.2256402909852
groups,1,14,32,0.49565575246305116,452.06572645203534,451.5700706995723
groups,1,14,62,0.23472031016945039,436.7577537934817,436.52303348331225
groups,1,14,34,0.011082404846035843,431.3580665538732,431.34698414902715
groups,1,14,54,0.284537204423259,443.7794901854746,443.4949529810513
groups,1,14,88,0.2848751414349522,446.525537428838,446.24066228740304
groups,1,14,90,0.6759191462386411,455.44589600416293,454.7699768579243
groups,1,14,80,0.04614391684697239,427.6149502724294,427.5688063555824
groups,1,14,14,0.0,432.84267410947757,432.84267410947757
groups,1,14,3,0.5521535974655762,452.1417527665718,451.58959916910624
groups,1,14,10,0.0009170831413598535,432.0757248578301,432.07480777468874
groups,1,14,92,0.09560978477247772,440.0546855878998,439.95907580312735
groups,1,14,24,0.05410779859391823,438.05565273403295,438.00154493543903
groups,1,14,66,0.011366332922136735,434.5808933424187,434.56952700949654
groups,1,14,31,0.06020415178585381,426.147497633726,426.08729348194015
groups,1,14,69,0.05218047221495681,437.3383848894225,437.28620441720756
groups,1,14,96,0.6976446549609818,454.5230705882523,453.82542593329134
groups,1,14,83,0.43948550241248086,445.08664903008525,444.6471635276728
groups,1,14,74,0.020546166070175786,434.2373456907322,434.216799524662
groups,1,14,8,0.5941767437611816,451.1969898399056,450.6028130961444
groups,1,14,46,0.6010046033500771,451.40708769716446,450.8060830938144
groups,1,14,75,0.09374299781762829,424.4128881031792,424.3191451053616
groups,1,14,63,0.5650716061931575,449.8419799888409,449.2769083826477
groups,1,14,57,0.45806769338037157,443.1385515827324,442.68048388935205
groups,1,14,79,0.6328098589430624,451.8102814867721,451.17747162782905
groups,1,14,30,0.4556331307206847,439.7609545852951,439.3053214545744
groups,1,14,49,0.49490604627681023,445.39633817755777,444.90143213128096
groups,1,14,95,0.11995237571318285,438.829982283119,438.71002990740584
groups,1,14,85,0.2594688157573728,442.6564610052136,442.3969921894562
groups,1,14,20,0.11675554308425262,423.3273656063395,423.2106100632553
groups,1,14,98,0.18511111790053292,439.8068928827881,439.62178176488754
groups,1,14,56,0.11157966110806683,423.688168845341,423.57658918423294
groups,1,14,28,0.16348914744827425,438.0633532147828,437.89986406733453
groups,1,14,55,0.29268773709458173,440.7923543940705,440.49966665697593
groups,1,14,5,0.10023083649360842,430.86462976349515,430.76439892700154
groups,1,14,58,0.14735899699286392,434.4001163790365,434.2527573820436
groups,1,14,99,0.2482303772138721,438.32285716428083,438.07462678706696
groups,1,14,15,0.136566358492189,433.2387339621031,433.1021676036109
groups,1,14,40,0.10924692051315787,427.42315981068555,427.3139128901724
groups,1,14,43,0.23530417794927416,436.2946219027523,436.059317724803
groups,1,14,47,0.17962994291525547,429.6857198003246,429.50608985740934
groups,1,14,27,0.3482206999858022,436.2370423892528,435.888821689267
groups,1,14,45,0.24034036831397998,423.7042180056543,423.4638776373403
groups,1,14,4,0.31907576821936345,419.1690604464976,418.84998467827825
groups,1,14,7,0.35617479619185133,417.86084326851045,417.5046684723186
groups,1,14,51,0.31196544684530636,419.7957541273955,419.4837886805502
groups,1,14,26,0.3170235587010666,430.02498883640123,429.70796527770017
groups,1,14,48,0.4076833042842054,416.73767768286905,416.32999437858484
groups,1,14,39,0.33060844992081684,420.1911806203412,419.86057217042037
groups,1,14,17,0.44463595102678255,416.2355554935832,415.7909195425564
groups,1,14,77,0.30150216323033874,423.2582374311782,422.95673526794786
groupsm,0,6,12,0.03855555844211267,455.81284951502585,455.77429395658373
groupsm,0,6,25,0.1338921743561059,459.0617524418436,458.9278602674875
groupsm,0,6,52,0.10305993224932308,458.0845444357895,457.9814845035402
groupsm,0,6,44,0.048613856747010686,445.01126311387065,444.96264925712364
groupsm,0,6,36,0.019012557104190364,447.3604796585638,447.3414671014596
groupsm,0,6,64,0.002761718542899416,451.3066640432476,451.3039023247047
groupsm,0,6,35,0.04171694926310465,455.703822625633,455.6621056763699
groupsm,0,6,6,0.0,451.16963091511354,451.16963091511354
groupsm,0,6,73,0.036031193165342756,446.4056173813994,446.36958618823405
groupsm,0,6,0,0.26957602756618826,464.6198055813858,464.3502295538196
groupsm,0,6,38,0.034310924780754704,449.2334511485012,449.19914022372046
groupsm,0,6,22,0.0019842771932871983,450.84085214610207,450.8388678689088
groupsm,0,6,59,0.020093940073309113,455.1664698130602,455.1463758729869
groupsm,0,6,2,0.15760599655902752,462.27824156139906,462.12063556484003
groupsm,0,6,81,0.015860204290106594,452.0232324641247,452.0073722598346
groupsm,1,45,82,0.01892019160976588,420.3583823197836,420.3394621281738
groupsm,1,45,47,0.04800248034661081,429.55409233775595,429.50608985740934
groupsm,1,45,27,0.23795837347529414,436.1267800627423,435.888821689267
groupsm,1,45,43,0.21302343047358363,436.2723411552766,436.059317724803
groupsm,1,45,40,0.02977602835704829,427.34368891852944,427.3139128901724
groupsm,1,45,45,0.0,423.4638776373403,423.4638776373403
groupsm,1,45,15,0.12020888376156336,433.22237648737246,433.1021676036109
groupsm,1,45,4,0.03317822829757233,418.8831629065758,418.84998467827825
groupsm,1,45,7,0.05455270530717371,417.5592211776258,417.5046684723186
groupsm,1,45,99,0.28291185373495864,438.3575386408019,438.07462678706696
