t,leader_58,env_low_58,env_high_58,leader_50,env_low_50,env_high_50
0,1.0,1.0,1.0,1.0,1.0,1.0
1,-0.47623280855986183,-0.47623280855986183,-0.38445572380820414,-0.44108263296074496,-0.4901960052816633,-0.3674424158907974
2,-0.510205914453402,-0.5660388827584432,-0.47063026788428186,-0.5265305785044629,-0.5824346175912563,-0.3939564588176786
3,-0.28452372214300947,-0.38158855952130777,-0.25790298228299097,-0.3208415947536115,-0.3812470138370232,-0.2423376985543585
4,-0.07346042055797425,-0.19856632255776463,-0.06960006323248105,-0.0687628207743166,-0.1894895629133442,-0.05547432116501781
5,-0.015520070978437439,-0.09491092671776484,0.002812315173130943,-0.031341008120705435,-0.10165070836967012,0.0409701364892498
6,-0.034165885917938545,-0.05436954383728108,0.043285910522384306,-0.012776599871450661,-0.10881824373376797,0.054469738480904015
7,-0.008660581843703477,-0.026884909586439614,0.06491789514859875,-0.019196013640986175,-0.05823201756694947,0.060123268487437126
8,0.025117458068738205,-0.05469481248837432,0.06344755852998868,-0.01241077601352335,-0.06702716124723546,0.08478401786497472
9,0.0013242079043628997,-0.04514947842793971,0.07499673166326655,0.007164810284018145,-0.057596909216480426,0.07700353373698668
10,-0.002166495406871285,-0.05238979805632631,0.08484224035994889,-0.013090660773497763,-0.09658531534022684,0.06409062168462491
11,-0.03450709244794651,-0.07132552461267702,0.05655957811504084,-0.03307964190998171,-0.0859480693370366,0.07593434431989379
12,-0.03765158645285739,-0.058996881568210036,0.08780455881906693,-0.02339012598461839,-0.07091139383350545,0.07109977338239581
13,0.059910408850353,-0.05895065457577857,0.07376696738426294,0.026753608071764984,-0.07043371168299235,0.05617851124270354
14,-0.0013552671609718334,-0.03778330784821099,0.06146179984433389,0.03986212702467966,-0.061544708736219526,0.0857559248718482
15,0.009054462919947928,-0.05287988581954661,0.04077371044497015,-0.02039208386776554,-0.06378976921294516,0.06604463363374286
16,-0.0078283876211553,-0.047790042144914315,0.044795714400024736,-0.028451242163034927,-0.08361454921254534,0.064273396839012
17,-0.007025204558692582,-0.053778280649542404,0.04744979028445903,0.006448636093792608,-0.0903560292440817,0.06963226715802859
18,-0.01823276766530764,-0.04125566161067927,0.03977360448688501,0.008825093675406868,-0.07758059447659704,0.08306752626892489
19,0.010979370318479537,-0.04902265652430017,0.045067860677055815,-0.006755666638299602,-0.07818046496112979,0.07823884594091633
20,-0.022326026305479446,-0.04369424137875609,0.06438561584244741,-0.0013554629122658306,-0.06959444881383012,0.07899741721153197
21,0.03174676330356583,-0.042631146867775284,0.08660425262016144,-0.04726195886958594,-0.05938926508561809,0.06263170902203033
22,-0.06327533616772667,-0.12758995591617767,0.046345235063718654,0.02917560058954912,-0.08506312965221619,0.07612549186789029
23,0.008519403339978991,-0.05702284335124044,0.06906555073583599,0.068542082888409,-0.05769065184734242,0.068542082888409
24,0.047730263499401085,-0.08265743097698217,0.05464067505508169,0.019773202320296876,-0.07185457100140495,0.07313763820214222
25,-0.005163353760646319,-0.04858690141960421,0.07933958948122057,0.011326476656831373,-0.08877933195481105,0.09424201522474063
26,-0.0016986475027840832,-0.03439576496136026,0.08967901240099312,-0.01882397905527184,-0.04964608676592061,0.08886012292545153
27,-0.019833867877611867,-0.05766895026555356,0.07569481092156045,-0.0011850833160300025,-0.07789746926891475,0.0782895529765175
